,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
183,183,2,Timesweep,32.24,55.468999999999994,-0.5496161258345544,51,12.51,,,,,,
184,184,2,Timesweep,31.533,55.119,-0.525258280854138,68,12.68,,,,,,
185,185,2,Timesweep,31.554000000000002,55.151,-0.5253884728941072,85,12.85,,,,,,
186,186,2,Timesweep,30.897,54.632,-0.5078170282352876,102,13.02,,,,,,
187,187,2,Timesweep,31.822,54.912,-0.5450396889026519,119,13.19,,,,,,
188,188,2,Timesweep,31.605999999999998,55.141999999999996,-0.5281516416678267,136,13.36,,,,,,
189,189,2,Timesweep,31.449,54.943000000000005,-0.5260680566708125,153,13.53,,,,,,
190,190,2,Timesweep,31.535,54.703,-0.5369548913072155,170,13.7,,,,,,
191,191,2,Timesweep,31.333000000000002,55.176,-0.5140185498125869,187,13.87,7,2944.0,3577.0,1.215,13.8,-2235.0
192,192,2,Timesweep,31.421999999999997,55.208,-0.5174389950938731,204,14.04,,,,,,
193,193,2,Timesweep,31.118000000000002,54.911,-0.5108861985881494,221,14.21,,,,,,
194,194,2,Timesweep,28.01,48.292,-0.5463839993267485,238,14.38,,,,,,
195,195,2,Timesweep,31.176,55.442,-0.4992046989155592,255,14.55,,,,,,
196,196,2,Timesweep,30.444000000000003,55.434,-0.4642152515787479,272,14.72,,,,,,
197,197,2,Timesweep,30.566999999999997,55.778,-0.46106423353202586,289,14.89,,,,,,
198,198,2,Timesweep,31.074,55.735,-0.48644411665070586,306,15.06,,,,,,
199,199,2,Timesweep,30.747,55.543,-0.47588610856625135,323,15.23,,,,,,
200,200,2,Timesweep,30.568,56.06399999999999,-0.4536584427857282,340,15.4,,,,,,
201,201,2,Timesweep,30.553,55.004,-0.4809452978054971,357,15.57,8,2946.0,3573.0,1.213,15.6,-2065.0
202,202,2,Timesweep,30.447,55.071999999999996,-0.47398508518276805,374,15.74,,,,,,
203,203,2,Timesweep,30.246,54.413000000000004,-0.48198806930064064,391,15.91,,,,,,
204,204,2,Timesweep,29.878,55.07899999999999,-0.44625511079442814,408,16.08,,,,,,
205,205,2,Timesweep,30.219,55.053000000000004,-0.4634521573453556,425,16.25,,,,,,
206,206,2,Timesweep,30.326999999999998,55.235,-0.46384307783871503,442,16.42,,,,,,
207,207,2,Timesweep,30.500999999999998,55.368,-0.4687053352880577,459,16.59,,,,,,
208,208,2,Timesweep,30.177,55.076,-0.46080787722359084,476,16.76,,,,,,
209,209,2,Timesweep,29.767,54.882,-0.4460541909221536,493,16.93,,,,,,
210,210,2,Timesweep,30.389,55.355,-0.4636558891623668,510,17.1,,,,,,
211,211,2,Timesweep,29.744,55.283,-0.4344558975313666,527,17.27,,,,,,
212,212,2,Timesweep,29.984,54.963,-0.4544492439778478,544,17.44,9,3049.0,3745.0,1.228,17.4,-1929.0
